ApsimVersion = 7.9 r0
Title = Gentry_CC_112N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        889.300        415.300        112.000            472.482                37.9           8.028                   0.000               204.321
     31/12/1995           1995        953.500        386.000        112.000            477.720                27.4           5.729                  54.388                 0.000
     31/12/1996           1996        947.300        488.900        112.000            388.748                25.1           6.460                   0.000               215.663
     31/12/1997           1997        889.400        499.100        112.000            493.488                10.7           2.174                  51.741                 0.000
     31/12/1998           1998       1091.500        548.800        112.000            428.548                23.0           5.370                   0.000               181.852
     31/12/1999           1999        884.700        455.700        112.000            406.553                17.8           4.378                   0.000               198.118
     31/12/2000           2000        918.600        586.300        112.000            388.235                17.9           4.611                   0.000               170.978
     31/12/2001           2001        963.400        635.300        112.000            468.865                20.2           4.304                   0.000               163.490
     31/12/2002           2002        984.500        439.600        112.000            504.727                26.2           5.195                   0.000               170.693
     31/12/2003           2003        966.800        627.600        112.000            356.919                16.3           4.571                   0.000               187.839
     31/12/2004           2004       1019.600        646.800        112.000            538.754                21.3           3.960                   0.000               163.700
     31/12/2005           2005        832.000        454.100        112.000            377.276                14.1           3.743                   0.000               152.448
     31/12/2006           2006        994.600        562.400        112.000            484.220                28.0           5.788                   0.000               190.023
     31/12/2007           2007        984.000        503.300        112.000            475.089                22.2           4.665                   0.000               181.373
     31/12/2008           2008       1311.600        771.100        112.000            687.470                34.3           4.986                   0.000               166.953
     31/12/2009           2009       1273.500        643.300        112.000            717.482                19.0           2.650                   0.000               122.354
     31/12/2010           2010        976.199        675.300        112.000            463.202                20.7           4.475                   0.000               180.004
     31/12/2011           2011       1006.100        458.800        112.000            551.889                35.2           6.370                   0.000               188.403
     31/12/2012           2012        739.800        504.100        112.000            226.016                13.2           5.855                   0.000               112.733
     31/12/2013           2013        954.600        462.200        112.000            504.240                38.5           7.626                   0.000               190.112
     31/12/2014           2014       1020.999        685.300        112.000            506.589                18.2           3.588                   0.000               171.058
     31/12/2015           2015       1135.699        674.000        112.000            582.988                28.0           4.806                   0.000               174.246
     31/12/2016           2016        996.999        684.000        112.000            461.031                16.9           3.667                   0.000               174.487
     31/12/2017           2017        884.200        506.800        112.000            356.445                25.4           7.128                   0.000               225.875
     31/12/2018           2018       1050.600        604.700        112.000            489.554                26.8           5.475                   0.000               189.749
     31/12/2019           2019       1093.500        490.200        112.000            587.645                32.4           5.507                   0.000               174.696
