ApsimVersion = 7.9 r0
Title = Gilmore_CC_168N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        767.000        578.000        168.000            323.416                35.0          10.827                   0.000               156.641
     31/12/1995           1995        788.000        462.000        168.000            446.885                42.4           9.492                  39.571                 0.000
     31/12/1996           1996        924.000        694.000        168.000            373.694                27.7           7.401                   0.000               182.515
     31/12/1997           1997        626.000        400.000        168.000            312.545                16.8           5.372                  48.222                 0.000
     31/12/1998           1998        965.000        681.000        168.000            434.105                28.2           6.502                   0.000               157.449
     31/12/1999           1999        787.000        421.000        168.000            454.126                35.4           7.806                   0.000               187.247
     31/12/2000           2000        625.000        399.000        168.000            319.454                41.0          12.829                   0.000               168.705
     31/12/2001           2001        861.000        510.000        168.000            497.809                58.5          11.755                   0.000               110.944
     31/12/2002           2002        774.000        623.000        168.000            356.724                39.8          11.160                   0.000               169.006
     31/12/2003           2003        733.000        432.000        168.000            406.153                48.3          11.884                   0.000               185.970
     31/12/2004           2004        858.500        542.000        168.000            499.373                49.7           9.957                   0.000               195.470
     31/12/2005           2005        802.000        535.000        168.000            441.223                39.4           8.929                   0.000               180.850
     31/12/2006           2006        696.000        487.000        168.000            383.998                46.0          11.967                   0.000               169.097
     31/12/2007           2007       1086.000        702.000        168.000            622.684                71.3          11.447                   0.000               161.536
     31/12/2008           2008       1001.000        678.000        168.000            593.704                63.4          10.673                   0.000               180.441
     31/12/2009           2009        817.000        605.000        168.000            449.745                38.6           8.575                   0.000               200.641
     31/12/2010           2010       1088.000        887.000        168.000            600.612                46.5           7.736                   0.000               168.357
     31/12/2011           2011        591.000        390.000        168.000            351.683                31.1           8.857                   0.000               142.107
     31/12/2012           2012        620.000        373.000        168.000            294.319                34.4          11.684                   0.000               174.476
     31/12/2013           2013        682.000        374.000        168.000            472.394                55.5          11.759                   0.000               148.419
     31/12/2014           2014        980.000        789.000        168.000            580.359                54.8           9.441                   0.000               164.622
     31/12/2015           2015       1137.000        717.000        168.000            636.714                63.9          10.042                   0.000               175.189
     31/12/2016           2016        899.000        663.000        168.000            442.482                45.3          10.236                   0.000               172.827
     31/12/2017           2017        758.000        520.000        168.000            433.474                51.5          11.874                   0.000               204.431
     31/12/2018           2018       1171.000        868.000        168.000            685.339                86.3          12.597                   0.000               168.014
     31/12/2019           2019        951.000        654.000        168.000            590.039                63.3          10.728                   0.000               170.345
