ApsimVersion = 7.9 r0
Title = Gilmore_CC_56N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        767.000        578.000         56.000            323.416                35.0          10.827          156.641
     31/12/1995           1995        788.000        462.000         56.000            446.885                42.4           9.492           39.571
     31/12/1996           1996        924.000        694.000         56.000            373.694                27.7           7.401          182.515
     31/12/1997           1997        626.000        400.000         56.000            312.545                16.8           5.372           48.222
     31/12/1998           1998        965.000        681.000         56.000            434.105                28.2           6.502          157.449
     31/12/1999           1999        787.000        421.000         56.000            456.761                29.3           6.407          170.973
     31/12/2000           2000        625.000        399.000         56.000            344.314                10.2           2.968          124.379
     31/12/2001           2001        861.000        510.000         56.000            523.404                13.5           2.575           86.174
     31/12/2002           2002        774.000        623.000         56.000            428.858                 5.9           1.365          103.422
     31/12/2003           2003        733.000        432.000         56.000            428.443                10.2           2.384          126.365
     31/12/2004           2004        858.500        542.000         56.000            528.163                13.1           2.475           94.429
     31/12/2005           2005        802.000        535.000         56.000            460.951                10.5           2.271          126.716
     31/12/2006           2006        696.000        487.000         56.000            397.676                10.0           2.504          131.558
     31/12/2007           2007       1086.000        702.000         56.000            702.279                14.0           1.990          106.032
     31/12/2008           2008       1001.000        678.000         56.000            622.975                16.4           2.628          119.003
     31/12/2009           2009        817.000        605.000         56.000            503.760                 6.2           1.237           94.600
     31/12/2010           2010       1088.000        887.000         56.000            692.237                 9.6           1.391           78.277
     31/12/2011           2011        591.000        390.000         56.000            342.068                 9.6           2.818          108.992
     31/12/2012           2012        620.000        373.000         56.000            319.561                 8.0           2.499          115.271
     31/12/2013           2013        682.000        374.000         56.000            497.354                16.2           3.262           81.278
     31/12/2014           2014        980.000        789.000         56.000            624.788                10.1           1.615           86.687
     31/12/2015           2015       1137.000        717.000         56.000            728.784                11.1           1.519           96.148
     31/12/2016           2016        899.000        663.000         56.000            510.779                 7.4           1.450          116.976
     31/12/2017           2017        758.000        520.000         56.000            471.142                12.5           2.662          132.432
     31/12/2018           2018       1171.000        868.000         56.000            729.127                17.1           2.341          128.624
     31/12/2019           2019        951.000        654.000         56.000            620.212                12.0           1.941          131.111
