ApsimVersion = 7.9 r0
Title = Gold_CC_56N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        910.000        541.000         56.000            201.872                16.3           8.082           32.574
     31/12/1995           1995        731.000        356.000         56.000            101.004                 3.5           3.486           51.999
     31/12/1996           1996        968.000        504.000         56.000            150.354                 4.5           2.994          135.150
     31/12/1997           1997        780.000        435.000         56.000            112.044                 3.1           2.777           46.015
     31/12/1998           1998        710.000        284.000         56.000            141.946                 3.3           2.322          109.733
     31/12/1999           1999        796.000        454.000         56.000            114.316                 7.4           6.506          137.749
     31/12/2000           2000        898.000        525.000         56.000            185.322                 1.0           0.530           36.050
     31/12/2001           2001        791.000        517.000         56.000            172.980                 0.8           0.489           80.714
     31/12/2002           2002        807.000        432.000         56.000             75.252                 1.0           1.379          124.955
     31/12/2003           2003        709.000        292.000         56.000            143.723                 1.7           1.196          109.050
     31/12/2004           2004        863.000        497.000         56.000            179.167                 1.8           1.010           63.702
     31/12/2005           2005        797.000        417.000         56.000            152.527                 2.6           1.712           85.051
     31/12/2006           2006       1062.000        629.000         56.000            225.413                 4.9           2.181          113.201
     31/12/2007           2007        820.000        481.000         56.000            133.386                 1.6           1.214           98.196
     31/12/2008           2008       1033.000        587.000         56.000            214.432                 3.9           1.807           55.607
     31/12/2009           2009        861.000        451.000         56.000            161.307                 0.5           0.297           38.734
     31/12/2010           2010        678.000        451.000         56.000             80.520                 0.8           1.047           71.595
     31/12/2011           2011        979.000        530.000         56.000            203.957                 5.5           2.708           90.322
     31/12/2012           2012        823.500        530.000         56.000             95.311                 1.6           1.695           70.400
     31/12/2013           2013        967.000        436.000         56.000            254.793                 6.1           2.412          100.822
     31/12/2014           2014        950.000        527.000         56.000            159.228                 1.4           0.884           38.932
     31/12/2015           2015        813.000        542.000         56.000             89.039                 0.4           0.426           66.803
     31/12/2016           2016        956.000        463.000         56.000            182.040                 2.7           1.469           82.435
     31/12/2017           2017        946.000        443.000         56.000            218.375                 5.8           2.673          103.974
     31/12/2018           2018        868.000        459.000         56.000            195.151                 3.4           1.725           83.722
     31/12/2019           2019       1070.000        541.000         56.000            221.800                 3.1           1.408           75.562
