ApsimVersion = 7.9 r0
Title = Hoffman_CC_250N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1013.000        487.000        250.000            313.053                19.2           6.143                   0.000               168.410
     31/12/1995           1995        794.000        359.000        250.000            395.946                 8.6           2.167                  44.254                 0.000
     31/12/1996           1996        997.000        495.000        250.000            208.309                 3.7           1.767                   0.000               182.574
     31/12/1997           1997        838.000        356.000        250.000            492.064                 9.5           1.933                  55.629                 0.000
     31/12/1998           1998       1112.000        567.000        250.000            211.081                 3.4           1.627                   0.000               186.189
     31/12/1999           1999        847.000        395.000        250.000            373.592                10.8           2.901                   0.000               176.141
     31/12/2000           2000        970.000        625.000        250.000            294.095                59.5          20.221                   0.000               180.355
     31/12/2001           2001        977.000        650.000        250.000            386.693                88.0          22.754                   0.000               161.888
     31/12/2002           2002        960.000        436.000        250.000            386.414                66.2          17.143                   0.000               160.120
     31/12/2003           2003       1133.000        695.000        250.000            357.694               117.6          32.889                   0.000               157.014
     31/12/2004           2004       1117.000         96.000        250.000            486.667               139.5          28.657                   0.000               205.113
     31/12/2005           2005        990.000        544.000        250.000            553.292                88.1          15.925                   0.000                98.366
     31/12/2006           2006       1071.000        596.000        250.000            467.156               101.9          21.813                   0.000               172.921
     31/12/2007           2007       1088.000        502.000        250.000            420.960               116.2          27.602                   0.000               162.701
     31/12/2008           2008       1159.000        614.000        250.000            510.010               105.1          20.617                   0.000               204.030
     31/12/2009           2009       1107.000        483.000        250.000            498.259               100.1          20.097                   0.000               202.827
     31/12/2010           2010       1015.000        660.000        250.000            356.252                85.7          24.069                   0.000               169.062
     31/12/2011           2011       1348.000        683.000        250.000            643.429               144.5          22.456                   0.000               183.186
     31/12/2012           2012        871.500        581.000        250.000            234.256                55.4          23.652                   0.000                71.352
     31/12/2013           2013       1128.000        499.000        250.000            470.350               136.6          29.051                   0.000               164.637
     31/12/2014           2014       1287.000        800.000        250.000            603.676               171.6          28.419                   0.000               172.533
     31/12/2015           2015       1203.000        656.000        250.000            532.217               153.7          28.883                   0.000               173.891
     31/12/2016           2016        988.500        550.000        250.000            359.583                64.5          17.937                   0.000               163.624
     31/12/2017           2017       1279.000        702.000        250.000            555.902               139.9          25.161                   0.000               180.217
     31/12/2018           2018       1130.000        666.000        250.000            529.065               124.9          23.605                   0.000               172.931
     31/12/2019           2019       1040.000        392.000        250.000            546.246                85.6          15.673                   0.000               162.404
