ApsimVersion = 7.9 r0
Title = Hoffman_CC_56N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994       1013.000        487.000         56.000            313.053                19.2           6.143          168.410
     31/12/1995           1995        794.000        359.000         56.000            395.946                 8.6           2.167           44.254
     31/12/1996           1996        997.000        495.000         56.000            208.309                 3.7           1.767          182.574
     31/12/1997           1997        838.000        356.000         56.000            492.064                 9.5           1.933           55.629
     31/12/1998           1998       1112.000        567.000         56.000            211.081                 3.4           1.627          186.189
     31/12/1999           1999        847.000        395.000         56.000            373.596                10.8           2.899          101.120
     31/12/2000           2000        970.000        625.000         56.000            471.794                19.3           4.089           84.337
     31/12/2001           2001        977.000        650.000         56.000            455.866                18.2           3.999          109.645
     31/12/2002           2002        960.000        436.000         56.000            356.659                 6.6           1.850          135.030
     31/12/2003           2003       1133.000        695.000         56.000            545.490                12.8           2.343           58.339
     31/12/2004           2004       1117.000         96.000         56.000            602.285                18.8           3.122           60.971
     31/12/2005           2005        990.000        544.000         56.000            486.077                15.3           3.156           82.978
     31/12/2006           2006       1071.000        596.000         56.000            461.250                18.5           4.017          143.146
     31/12/2007           2007       1088.000        502.000         56.000            524.156                21.3           4.063          105.752
     31/12/2008           2008       1159.000        614.000         56.000            639.803                18.9           2.956           80.625
     31/12/2009           2009       1107.000        483.000         56.000            587.077                 9.5           1.614          113.189
     31/12/2010           2010       1015.000        660.000         56.000            480.432                12.5           2.598           61.362
     31/12/2011           2011       1348.000        683.000         56.000            778.706                23.6           3.025          114.009
     31/12/2012           2012        871.500        581.000         56.000            281.176                 8.6           3.071           83.673
     31/12/2013           2013       1128.000        499.000         56.000            609.504                21.1           3.469           99.664
     31/12/2014           2014       1287.000        800.000         56.000            737.816                13.8           1.872           71.471
     31/12/2015           2015       1203.000        656.000         56.000            602.155                17.2           2.858           68.196
     31/12/2016           2016        988.500        550.000         56.000            393.764                11.1           2.819          123.228
     31/12/2017           2017       1279.000        702.000         56.000            718.795                20.7           2.876           93.004
     31/12/2018           2018       1130.000        666.000         56.000            628.749                21.2           3.376           87.598
     31/12/2019           2019       1040.000        392.000         56.000            577.569                12.3           2.132          110.702
