ApsimVersion = 7.9 r0
Title = Huggins_CC_168N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        668.000        460.000        168.000            442.511                67.8          15.323          176.227
     31/12/1995           1995        876.000        544.000        168.000            548.769               136.0          24.780           38.741
     31/12/1996           1996        843.000        552.000        168.000            432.845                75.9          17.529          189.722
     31/12/1997           1997        616.000        457.000        168.000            401.522                34.3           8.549           55.216
     31/12/1998           1998        646.000        454.000        168.000            361.861                27.0           7.457          194.216
     31/12/1999           1999        552.000        395.000        168.000            349.996                25.7           7.350          179.073
     31/12/2000           2000        686.000        503.000        168.000            423.976                22.0           5.180          189.293
     31/12/2001           2001        798.000        398.000        168.000            553.283                37.9           6.857          178.164
     31/12/2002           2002        612.000        467.000        168.000            390.892                33.1           8.477          174.268
     31/12/2003           2003        523.000        369.000        168.000            361.837                29.9           8.256          167.191
     31/12/2004           2004        720.500        510.000        168.000            442.977                23.5           5.308          121.275
     31/12/2005           2005        864.000        651.000        168.000            512.047                43.0           8.400          186.014
     31/12/2006           2006        676.000        478.000        168.000            458.242                42.7           9.328          132.348
     31/12/2007           2007        711.000        540.000        168.000            493.713                69.1          13.992          158.499
     31/12/2008           2008        634.000        386.000        168.000            433.961                57.8          13.308          171.323
     31/12/2009           2009        651.000        501.000        168.000            428.492                40.5           9.461          178.627
     31/12/2010           2010        960.000        760.000        168.000            557.997                36.8           6.594          167.941
     31/12/2011           2011        615.000        382.000        168.000            452.481                29.3           6.475          177.339
     31/12/2012           2012        687.500        460.000        168.000            431.040                29.7           6.884          139.104
     31/12/2013           2013        576.000        368.000        168.000            450.904                73.4          16.276          164.383
     31/12/2014           2014        711.000        486.000        168.000            466.788                59.9          12.827          160.435
     31/12/2015           2015        792.000        601.000        168.000            445.635                60.9          13.655          177.958
     31/12/2016           2016        968.500        758.000        168.000            541.346                72.9          13.463          171.959
     31/12/2017           2017        809.000        649.000        168.000            470.244                41.3           8.783          165.569
     31/12/2018           2018       1062.000        787.000        168.000            625.233                77.5          12.402          174.401
     31/12/2019           2019        990.000        603.000        168.000            604.424                52.6           8.695          178.533
