ApsimVersion = 7.9 r0
Title = Huggins_CC_224N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        668.000        460.000        224.000            442.511                67.8          15.323                   0.000               176.227
     31/12/1995           1995        876.000        544.000        224.000            548.769               136.0          24.780                  38.741                 0.000
     31/12/1996           1996        843.000        552.000        224.000            432.845                75.9          17.529                   0.000               189.722
     31/12/1997           1997        616.000        457.000        224.000            401.522                34.3           8.549                  55.216                 0.000
     31/12/1998           1998        646.000        454.000        224.000            361.861                27.0           7.457                   0.000               194.216
     31/12/1999           1999        552.000        395.000        224.000            350.009                28.5           8.132                   0.000               179.095
     31/12/2000           2000        686.000        503.000        224.000            423.390                52.7          12.449                   0.000               189.383
     31/12/2001           2001        798.000        398.000        224.000            547.220                91.0          16.630                   0.000               178.487
     31/12/2002           2002        612.000        467.000        224.000            390.386                70.4          18.034                   0.000               174.309
     31/12/2003           2003        523.000        369.000        224.000            360.835                63.3          17.547                   0.000               167.219
     31/12/2004           2004        720.500        510.000        224.000            440.782                75.4          17.100                   0.000               121.624
     31/12/2005           2005        864.000        651.000        224.000            511.002               113.8          22.268                   0.000               185.923
     31/12/2006           2006        676.000        478.000        224.000            457.427                87.0          19.015                   0.000               132.512
     31/12/2007           2007        711.000        540.000        224.000            492.251               126.8          25.766                   0.000               158.543
     31/12/2008           2008        634.000        386.000        224.000            433.413               100.5          23.182                   0.000               171.292
     31/12/2009           2009        651.000        501.000        224.000            427.205                95.5          22.352                   0.000               178.307
     31/12/2010           2010        960.000        760.000        224.000            547.651               105.0          19.164                   0.000               168.526
     31/12/2011           2011        615.000        382.000        224.000            449.010                58.6          13.060                   0.000               177.485
     31/12/2012           2012        687.500        460.000        224.000            430.241                65.6          15.258                   0.000               139.090
     31/12/2013           2013        576.000        368.000        224.000            450.158               126.8          28.168                   0.000               164.379
     31/12/2014           2014        711.000        486.000        224.000            464.988               107.1          23.033                   0.000               160.507
     31/12/2015           2015        792.000        601.000        224.000            443.732               114.9          25.894                   0.000               178.119
     31/12/2016           2016        968.500        758.000        224.000            538.329               143.8          26.710                   0.000               167.660
     31/12/2017           2017        809.000        649.000        224.000            469.464                86.9          18.503                   0.000               165.667
     31/12/2018           2018       1062.000        787.000        224.000            624.078               146.9          23.544                   0.000               174.445
     31/12/2019           2019        990.000        603.000        224.000            602.695               100.1          16.608                   0.000               178.994
