ApsimVersion = 7.9 r0
Title = RandIragCC_300N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        880.000        658.000        300.000            107.931                13.3          12.310          155.876
     31/12/1995           1995       1051.000        718.000        300.000            411.641                59.8          14.517           47.744
     31/12/1996           1996        795.000        567.000        300.000            103.833                 2.1           2.061          173.954
     31/12/1997           1997        687.000        424.000        300.000            233.138                 7.5           3.228           47.380
     31/12/1998           1998        891.000        652.000        300.000            138.326                 3.6           2.622          195.060
     31/12/1999           1999        740.000        534.000        300.000            250.758                29.0          11.585          186.048
     31/12/2000           2000        833.000        612.000        300.000            142.354                31.8          22.356          162.405
     31/12/2001           2001        959.000        466.000        300.000            287.776               101.5          35.275          126.433
     31/12/2002           2002        804.000        647.000        300.000            118.341                47.5          40.120          158.097
     31/12/2003           2003        760.000        567.000        300.000            103.448                50.2          48.518          165.070
     31/12/2004           2004        893.500        766.000        300.000            175.121               101.5          57.978          142.070
     31/12/2005           2005       1005.000        795.000        300.000            177.016                81.9          46.240          178.010
     31/12/2006           2006        731.000        522.000        300.000             83.187                39.3          47.213          170.082
     31/12/2007           2007        917.000        662.000        300.000            238.049               130.2          54.699          183.908
     31/12/2008           2008        815.000        567.000        300.000            152.901                78.7          51.488          172.080
     31/12/2009           2009        869.000        680.000        300.000            153.115                85.8          56.031          168.100
     31/12/2010           2010       1201.000       1038.000        300.000            251.660               119.9          47.655          149.967
     31/12/2011           2011        829.000        539.000        300.000            253.475                74.2          29.277          167.910
     31/12/2012           2012        825.000        580.000        300.000            121.462                49.4          40.683          181.207
     31/12/2013           2013        821.000        542.000        300.000            187.905               124.6          66.325          142.668
     31/12/2014           2014        819.000        602.000        300.000            193.839               124.3          64.136          172.334
     31/12/2015           2015       1009.000        838.000        300.000            159.541                95.3          59.711          177.704
     31/12/2016           2016       1027.000        802.000        300.000            176.751                96.8          54.760          179.330
     31/12/2017           2017        894.000        753.000        300.000            121.991                64.2          52.614          174.486
     31/12/2018           2018       1093.000        846.000        300.000            213.342               108.5          50.875          157.245
     31/12/2019           2019       1325.000        802.000        300.000            414.102               120.8          29.182          160.656
