ApsimVersion = 7.9 r0
Title = Gentry_CS_250N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        889.300        408.800        250.000            449.923                25.9           5.750           60.752
     31/12/1995           1995        953.500        404.600        250.000            360.689                28.0           7.757          159.187
     31/12/1996           1996        947.300        488.100        250.000            527.221                28.6           5.425           66.014
     31/12/1997           1997        889.400        503.400        250.000            314.507                12.1           3.859          215.796
     31/12/1998           1998       1091.500        547.500        250.000            614.751                16.3           2.654           60.538
     31/12/1999           1999        884.700        455.700        250.000            267.754                19.6           7.311          241.653
     31/12/2000           2000        918.600        586.000        250.000            321.551                44.1          13.718           53.889
     31/12/2001           2001        963.400        635.300        250.000            349.669                57.5          16.431          169.198
     31/12/2002           2002        984.500        439.200        250.000            500.913                63.4          12.661           54.573
     31/12/2003           2003        966.800        627.600        250.000            273.733                38.9          14.216          204.194
     31/12/2004           2004       1019.600        646.800        250.000            496.043                55.9          11.271           68.723
     31/12/2005           2005        832.000        454.100        250.000            284.329                33.7          11.839          161.193
     31/12/2006           2006        994.600        562.400        250.000            433.134                69.3          15.997           59.297
     31/12/2007           2007        984.000        503.300        250.000            411.572                59.8          14.533          194.026
     31/12/2008           2008       1311.600        750.700        250.000            737.151                84.0          11.400           70.782
     31/12/2009           2009       1273.500        643.300        250.000            591.926                71.8          12.125          153.493
     31/12/2010           2010        976.199        673.800        250.000            387.273                41.0          10.596           37.498
     31/12/2011           2011       1006.100        458.800        250.000            402.135                71.7          17.842          192.514
     31/12/2012           2012        739.800        501.300        250.000            172.712                30.7          17.758           42.659
     31/12/2013           2013        954.600        462.200        250.000            379.335                48.0          12.659          187.493
     31/12/2014           2014       1020.999        685.300        250.000            511.183                65.5          12.817           47.147
     31/12/2015           2015       1135.699        674.000        250.000            439.893                84.6          19.241          190.259
     31/12/2016           2016        996.999        683.900        250.000            387.828                40.9          10.548           38.212
     31/12/2017           2017        884.200        506.800        250.000            244.123                41.7          17.098          224.392
     31/12/2018           2018       1050.600        598.600        250.000            432.253                68.7          15.886           59.296
     31/12/2019           2019       1093.500        490.200        250.000            479.329                59.3          12.378          178.017
