ApsimVersion = 7.9 r0
Title = Gentry_CS_300N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        889.300        408.800        300.000            449.923                25.9           5.750                  60.752                 0.000
     31/12/1995           1995        953.500        404.600        300.000            360.689                28.0           7.757                   0.000               159.187
     31/12/1996           1996        947.300        488.100        300.000            527.221                28.6           5.425                  66.014                 0.000
     31/12/1997           1997        889.400        503.400        300.000            314.507                12.1           3.859                   0.000               215.796
     31/12/1998           1998       1091.500        547.500        300.000            614.751                16.3           2.654                  60.538                 0.000
     31/12/1999           1999        884.700        455.700        300.000            267.750                21.2           7.904                   0.000               241.773
     31/12/2000           2000        918.600        586.000        300.000            321.172                57.1          17.766                  53.891                 0.000
     31/12/2001           2001        963.400        635.300        300.000            349.589                73.8          21.112                   0.000               169.545
     31/12/2002           2002        984.500        439.200        300.000            488.106                81.0          16.585                  54.636                 0.000
     31/12/2003           2003        966.800        627.600        300.000            273.711                48.0          17.552                   0.000               204.615
     31/12/2004           2004       1019.600        646.800        300.000            487.953                69.2          14.179                  68.772                 0.000
     31/12/2005           2005        832.000        454.100        300.000            284.336                39.2          13.779                   0.000               161.498
     31/12/2006           2006        994.600        562.400        300.000            425.929                83.7          19.652                  59.315                 0.000
     31/12/2007           2007        984.000        503.300        300.000            411.520                76.9          18.693                   0.000               194.166
     31/12/2008           2008       1311.600        750.700        300.000            715.602               104.0          14.536                  72.019                 0.000
     31/12/2009           2009       1273.500        643.300        300.000            594.094                89.9          15.137                   0.000               156.278
     31/12/2010           2010        976.199        673.800        300.000            380.455                51.0          13.413                  37.561                 0.000
     31/12/2011           2011       1006.100        458.800        300.000            402.220                85.6          21.283                   0.000               192.673
     31/12/2012           2012        739.800        501.300        300.000            167.400                37.5          22.427                  44.247                 0.000
     31/12/2013           2013        954.600        462.200        300.000            379.556                55.8          14.703                   0.000               187.592
     31/12/2014           2014       1020.999        685.300        300.000            502.243                84.2          16.773                  47.195                 0.000
     31/12/2015           2015       1135.699        674.000        300.000            439.596               106.8          24.293                   0.000               191.388
     31/12/2016           2016        996.999        683.900        300.000            387.332                53.5          13.814                  38.225                 0.000
     31/12/2017           2017        884.200        506.800        300.000            244.121                50.8          20.820                   0.000               224.619
     31/12/2018           2018       1050.600        598.600        300.000            425.456                85.5          20.088                  59.388                 0.000
     31/12/2019           2019       1093.500        490.200        300.000            479.570                68.9          14.373                   0.000               178.251
