ApsimVersion = 7.9 r0
Title = Gilmore_CS_168N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        767.000        576.000        168.000            290.416                17.4           5.992           46.784
     31/12/1995           1995        788.000        462.000        168.000            373.469                34.8           9.324          156.697
     31/12/1996           1996        924.000        694.000        168.000            495.972                34.6           6.970           42.759
     31/12/1997           1997        626.000        400.000        168.000            253.114                11.9           4.706          166.755
     31/12/1998           1998        965.000        681.000        168.000            514.256                27.9           5.421           41.212
     31/12/1999           1999        787.000        421.000        168.000            351.013                22.5           6.419          187.363
     31/12/2000           2000        625.000        398.000        168.000            265.296                25.6           9.631           35.032
     31/12/2001           2001        861.000        510.000        168.000            382.772                39.5          10.310          116.666
     31/12/2002           2002        774.000        623.000        168.000            329.587                25.2           7.654           46.687
     31/12/2003           2003        733.000        432.000        168.000            321.450                24.6           7.664          183.938
     31/12/2004           2004        858.500        406.000        168.000            488.338                29.3           5.996           40.501
     31/12/2005           2005        802.000        535.000        168.000            300.012                24.1           8.036          183.449
     31/12/2006           2006        696.000        464.000        168.000            335.198                27.8           8.307           47.353
     31/12/2007           2007       1086.000        702.000        168.000            528.534                37.2           7.038          161.279
     31/12/2008           2008       1001.000        678.000        168.000            612.082                33.0           5.389           49.642
     31/12/2009           2009        817.000        605.000        168.000            344.066                23.7           6.890          196.466
     31/12/2010           2010       1088.000        876.000        168.000            627.553                18.5           2.955           44.551
     31/12/2011           2011        591.000        390.000        168.000            253.494                18.3           7.204          151.534
     31/12/2012           2012        620.000        373.000        168.000            240.252                25.9          10.788           55.798
     31/12/2013           2013        682.000        374.000        168.000            394.650                22.5           5.712          156.757
     31/12/2014           2014        980.000        777.000        168.000            592.144                21.1           3.556           37.709
     31/12/2015           2015       1137.000        717.000        168.000            519.899                50.7           9.746          178.304
     31/12/2016           2016        899.000        660.000        168.000            414.561                21.4           5.162           48.634
     31/12/2017           2017        758.000        520.000        168.000            346.965                25.6           7.373          204.042
     31/12/2018           2018       1171.000        867.000        168.000            685.621                36.8           5.363           46.162
     31/12/2019           2019        951.000        654.000        168.000            491.866                42.3           8.609          170.960
