ApsimVersion = 7.9 r0
Title = Gold_CS_224N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        910.000        541.000        224.000            185.503                14.8           7.993                  19.150                 0.000
     31/12/1995           1995        731.000        356.000        224.000            105.134                 8.6           8.133                   0.000               131.943
     31/12/1996           1996        968.000        504.000        224.000            210.108                12.4           5.880                  44.194                 0.000
     31/12/1997           1997        780.000        435.000        224.000             63.916                 0.7           1.051                   0.000               159.271
     31/12/1998           1998        710.000        282.000        224.000            165.903                 2.1           1.277                  45.527                 0.000
     31/12/1999           1999        796.000        454.000        224.000             81.678                 3.4           4.102                   0.000               197.109
     31/12/2000           2000        898.000        516.000        224.000            141.231                 8.3           5.895                  31.838                 0.000
     31/12/2001           2001        791.000        517.000        224.000            127.831                13.2          10.289                   0.000               169.440
     31/12/2002           2002        807.000        432.000        224.000             69.774                10.9          15.679                  61.348                 0.000
     31/12/2003           2003        709.000        292.000        224.000            119.835                 9.9           8.266                   0.000               147.885
     31/12/2004           2004        863.000        465.000        224.000            165.651                15.3           9.225                  51.707                 0.000
     31/12/2005           2005        797.000        417.000        224.000            121.232                10.1           8.306                   0.000               168.319
     31/12/2006           2006       1062.000        629.000        224.000            194.549                25.3          13.028                  49.793                 0.000
     31/12/2007           2007        820.000        481.000        224.000             97.138                 7.3           7.504                   0.000               175.544
     31/12/2008           2008       1033.000        587.000        224.000            202.351                21.5          10.604                  34.722                 0.000
     31/12/2009           2009        861.000        451.000        224.000             85.521                 4.2           4.926                   0.000               146.772
     31/12/2010           2010        678.000        445.000        224.000             55.324                 4.8           8.591                  53.730                 0.000
     31/12/2011           2011        979.000        530.000        224.000            132.526                13.2           9.928                   0.000               135.490
     31/12/2012           2012        823.500        527.000        224.000             64.689                 7.5          11.602                  56.541                 0.000
     31/12/2013           2013        967.000        436.000        224.000            196.044                15.6           7.972                   0.000               143.500
     31/12/2014           2014        950.000        527.000        224.000            141.254                18.2          12.917                  41.214                 0.000
     31/12/2015           2015        813.000        542.000        224.000             59.516                 6.5          10.842                   0.000               157.716
     31/12/2016           2016        956.000        463.000        224.000            153.068                21.8          14.225                  54.407                 0.000
     31/12/2017           2017        946.000        443.000        224.000            144.785                10.6           7.290                   0.000               167.171
     31/12/2018           2018        868.000        451.000        224.000            144.805                20.9          14.438                  52.135                 0.000
     31/12/2019           2019       1070.000        541.000        224.000            146.683                15.7          10.707                   0.000               125.408
