ApsimVersion = 7.9 r0
Title = Huggins_CS_168N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        668.000        460.000        168.000            437.761                50.7          11.573                  56.686                 0.000
     31/12/1995           1995        876.000        544.000        168.000            465.494               104.7          22.494                   0.000               129.250
     31/12/1996           1996        843.000        552.000        168.000            508.993                79.3          15.584                  59.005                 0.000
     31/12/1997           1997        616.000        457.000        168.000            334.211                21.0           6.282                   0.000               181.633
     31/12/1998           1998        646.000        454.000        168.000            371.187                28.1           7.561                  64.428                 0.000
     31/12/1999           1999        552.000        395.000        168.000            280.867                15.2           5.394                   0.000               174.509
     31/12/2000           2000        686.000        503.000        168.000            399.352                46.3          11.591                  20.275                 0.000
     31/12/2001           2001        798.000        398.000        168.000            455.814                75.8          16.623                   0.000               176.182
     31/12/2002           2002        612.000        467.000        168.000            370.388                39.2          10.597                  52.870                 0.000
     31/12/2003           2003        523.000        369.000        168.000            305.623                 9.2           3.019                   0.000               163.210
     31/12/2004           2004        720.500        475.000        168.000            470.320                13.3           2.835                  38.884                 0.000
     31/12/2005           2005        864.000        651.000        168.000            443.166                25.3           5.707                   0.000               178.690
     31/12/2006           2006        676.000        478.000        168.000            429.370                25.2           5.862                  57.339                 0.000
     31/12/2007           2007        711.000        540.000        168.000            425.593                33.3           7.824                   0.000               158.859
     31/12/2008           2008        634.000        386.000        168.000            418.986                31.4           7.499                  64.298                 0.000
     31/12/2009           2009        651.000        501.000        168.000            364.448                14.7           4.034                   0.000               180.204
     31/12/2010           2010        960.000        758.000        168.000            537.999                18.7           3.482                  54.030                 0.000
     31/12/2011           2011        615.000        382.000        168.000            375.488                17.7           4.702                   0.000               177.146
     31/12/2012           2012        687.500        460.000        168.000            382.295                26.3           6.883                  57.446                 0.000
     31/12/2013           2013        576.000        368.000        168.000            396.591                28.2           7.099                   0.000               161.023
     31/12/2014           2014        711.000        486.000        168.000            470.934                38.3           8.128                  55.445                 0.000
     31/12/2015           2015        792.000        601.000        168.000            377.854                34.3           9.066                   0.000               191.058
     31/12/2016           2016        968.500        758.000        168.000            528.865                34.6           6.536                  52.912                 0.000
     31/12/2017           2017        809.000        649.000        168.000            379.677                29.0           7.637                   0.000               165.979
     31/12/2018           2018       1062.000        787.000        168.000            626.253                48.0           7.666                  48.112                 0.000
     31/12/2019           2019        990.000        603.000        168.000            522.569                41.3           7.912                   0.000               172.870
