ApsimVersion = 7.9 r0
Title = Kladivko_CS_0N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1015.000        390.000          0.000            110.068                 9.8           8.861                  33.022                 0.000
     31/12/1995           1995       1221.000        556.000          0.000             43.081                 5.8          13.473                   0.000               166.183
     31/12/1996           1996       1431.000        431.000          0.000            395.046                13.1           3.327                  33.303                 0.000
     31/12/1997           1997       1170.000        592.000          0.000             49.852                 2.4           4.868                   0.000               201.163
     31/12/1998           1998       1294.000        614.000          0.000            303.446                 3.1           1.031                  18.891                 0.000
     31/12/1999           1999        946.000        354.000          0.000             77.691                 3.2           4.180                   0.000               111.744
     31/12/2000           2000       1400.000        728.000          0.000            189.462                 3.4           1.797                  45.178                 0.000
     31/12/2001           2001       1285.000        851.000          0.000            135.256                 3.0           2.184                   0.000                69.128
     31/12/2002           2002       1401.000        554.000          0.000            338.806                 4.1           1.225                  37.769                 0.000
     31/12/2003           2003       1319.000        709.000          0.000            100.090                 2.0           1.988                   0.000                82.261
     31/12/2004           2004       1383.500        753.000          0.000            276.120                 3.3           1.209                  49.330                 0.000
     31/12/2005           2005       1240.000        597.000          0.000            123.041                 3.7           3.014                   0.000                46.351
     31/12/2006           2006       1535.000        801.000          0.000            282.413                 3.9           1.395                  36.033                 0.000
     31/12/2007           2007       1138.000        467.000          0.000            141.094                 4.7           3.356                   0.000                97.458
     31/12/2008           2008       1515.000        595.000          0.000            402.719                 6.3           1.566                  51.208                 0.000
     31/12/2009           2009       1395.000        890.000          0.000             56.460                 0.3           0.458                   0.000                88.392
     31/12/2010           2010        964.000        494.000          0.000            151.370                 2.7           1.784                  24.543                 0.000
     31/12/2011           2011       1489.000        403.000          0.000            292.785                 7.9           2.705                   0.000                94.832
     31/12/2012           2012        981.000        463.000          0.000             86.615                 0.8           0.867                  57.372                 0.000
     31/12/2013           2013       1237.000        550.000          0.000             78.700                 2.0           2.485                   0.000               109.282
     31/12/2014           2014       1271.000        669.000          0.000            174.671                 2.9           1.645                  44.731                 0.000
     31/12/2015           2015       1390.000        710.000          0.000            160.510                 3.6           2.255                   0.000               108.071
     31/12/2016           2016       1305.000        666.000          0.000            150.660                 1.2           0.780                  36.628                 0.000
     31/12/2017           2017       1413.000        656.000          0.000            105.402                 5.2           4.888                   0.000               126.502
     31/12/2018           2018       1487.000        737.000          0.000            253.340                 3.1           1.239                  38.209                 0.000
     31/12/2019           2019       1419.000        497.000          0.000            184.853                 4.4           2.358                   0.000                72.145
