ApsimVersion = 7.9 r0
Title = RandIragCS_0N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        880.000        657.000          0.000             83.669                 8.7          10.451                  68.387                 0.000
     31/12/1995           1995       1051.000        719.000          0.000            157.998                 8.9           5.639                   0.000               146.636
     31/12/1996           1996        795.000        566.000          0.000            269.041                20.1           7.455                  61.136                 0.000
     31/12/1997           1997        687.000        425.000          0.000             36.301                 0.8           2.298                   0.000               126.450
     31/12/1998           1998        891.000        652.000          0.000            214.367                18.3           8.523                  80.099                 0.000
     31/12/1999           1999        740.000        534.000          0.000             33.770                 1.4           4.038                   0.000                99.135
     31/12/2000           2000        833.000        608.000          0.000            303.225                12.1           4.002                  14.812                 0.000
     31/12/2001           2001        959.000        466.000          0.000            173.119                 8.3           4.788                   0.000               113.930
     31/12/2002           2002        804.000        643.000          0.000            230.524                 9.9           4.294                  63.880                 0.000
     31/12/2003           2003        760.000        567.000          0.000             55.305                 0.6           1.122                   0.000                57.649
     31/12/2004           2004        893.500        765.000          0.000            304.243                10.8           3.550                  36.925                 0.000
     31/12/2005           2005       1005.000        795.000          0.000            136.488                 1.9           1.420                   0.000               124.636
     31/12/2006           2006        731.000        521.000          0.000            179.583                 8.6           4.771                  78.063                 0.000
     31/12/2007           2007        917.000        662.000          0.000            181.277                 2.0           1.091                   0.000                84.285
     31/12/2008           2008        815.000        566.000          0.000            221.903                10.2           4.583                  59.756                 0.000
     31/12/2009           2009        869.000        680.000          0.000            133.546                 0.9           0.694                   0.000                80.335
     31/12/2010           2010       1201.000       1032.000          0.000            453.002                 7.0           1.554                  65.092                 0.000
     31/12/2011           2011        829.000        539.000          0.000            150.567                 3.0           1.972                   0.000                88.026
     31/12/2012           2012        825.000        579.000          0.000            225.172                 6.7           2.984                  71.118                 0.000
     31/12/2013           2013        821.000        542.000          0.000            128.406                 3.5           2.760                   0.000                74.087
     31/12/2014           2014        819.000        601.000          0.000            310.146                 9.1           2.921                  51.662                 0.000
     31/12/2015           2015       1009.000        838.000          0.000            130.626                 1.0           0.797                   0.000               117.392
     31/12/2016           2016       1027.000        800.000          0.000            273.082                 9.9           3.643                  75.835                 0.000
     31/12/2017           2017        894.000        753.000          0.000            117.206                 0.6           0.553                   0.000                93.620
     31/12/2018           2018       1093.000        845.000          0.000            353.623                 8.2           2.316                  67.230                 0.000
     31/12/2019           2019       1325.000        802.000          0.000            367.484                 6.7           1.818                   0.000                78.755
