ApsimVersion = 7.9 r0
Title = Sutherland_CS_spring_NR112
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994              ?        550.460        112.000                  ?                   ?               ?                ?
     31/12/1995           1995        802.428        508.853        112.000            115.613                 2.8           2.464          210.641
     31/12/1996           1996        682.592        494.835        112.000            113.931                 0.9           0.786           54.223
     31/12/1997           1997        659.417        450.196        112.000             79.639                 1.4           1.777          220.789
     31/12/1998           1998        827.994        556.754        112.000            156.248                 3.2           2.040           62.738
     31/12/1999           1999        566.186        341.638        112.000             53.825                 0.7           1.257          201.521
     31/12/2000           2000        588.510        374.668        112.000             99.005                 0.8           0.759           55.747
     31/12/2001           2001        760.490        400.054        112.000            123.899                 3.0           2.403          141.203
     31/12/2002           2002        601.310        475.078        112.000             50.112                 0.6           1.262           60.169
     31/12/2003           2003        679.553        450.336        112.000             56.617                 0.9           1.668          193.686
     31/12/2004           2004        982.960        745.996        112.000            129.624                 1.9           1.485            1.799
     31/12/2005           2005        795.539        567.211        112.000            118.649                 4.3           3.598          217.057
     31/12/2006           2006        619.500        325.630        112.000            112.679                 6.1           5.372           63.315
     31/12/2007           2007        926.102        587.258        112.000            199.194                 2.4           1.201          187.960
     31/12/2008           2008        794.702        553.916        112.000            193.996                 4.9           2.518           51.544
     31/12/2009           2009        611.608        404.596        112.000            118.703                 1.1           0.935          190.522
     31/12/2010           2010        994.688        778.518        112.000            283.521                 2.0           0.714           54.816
     31/12/2011           2011        510.786        375.414        112.000             55.808                 0.3           0.588          198.543
     31/12/2012           2012        619.490        386.080        112.000            103.040                 1.0           0.945           62.226
     31/12/2013           2013        779.258        553.972        112.000            104.923                 3.0           2.865          204.267
     31/12/2014           2014        662.412        530.606        112.000             76.979                 0.7           0.846           47.734
     31/12/2015           2015        824.760        486.156        112.000            171.808                 2.1           1.194          207.418
     31/12/2016           2016        904.802        489.310        112.000            180.538                 2.6           1.429           58.726
     31/12/2017           2017        621.748        406.912        112.000             57.754                 0.7           1.185          211.586
     31/12/2018           2018        951.214        624.824        112.000            219.545                 3.8           1.746           66.529
     31/12/2019           2019        883.171        557.542        112.000            179.338                 2.8           1.546          196.246
