ApsimVersion = 7.9 r0
Title = Gentry_SC_250N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        889.300        415.300        250.000            472.482                37.9           8.028          204.321
     31/12/1995           1995        953.500        386.000        250.000            477.720                27.4           5.729           54.388
     31/12/1996           1996        947.300        488.900        250.000            388.748                25.1           6.460          215.663
     31/12/1997           1997        889.400        499.100        250.000            493.488                10.7           2.174           51.741
     31/12/1998           1998       1091.500        548.800        250.000            428.548                23.0           5.370          181.852
     31/12/1999           1999        884.700        455.400        250.000            457.475                12.4           2.718           68.120
     31/12/2000           2000        918.600        586.300        250.000            275.391                42.2          15.313          199.381
     31/12/2001           2001        963.400        635.300        250.000            388.279                51.5          13.266           57.514
     31/12/2002           2002        984.500        439.600        250.000            370.697                43.9          11.845          193.572
     31/12/2003           2003        966.800        625.200        250.000            336.974                43.9          13.036           62.827
     31/12/2004           2004       1019.600        646.800        250.000            401.601                59.4          14.788          202.101
     31/12/2005           2005        832.000        442.700        250.000            313.567                41.9          13.352           56.261
     31/12/2006           2006        994.600        562.400        250.000            382.305                63.4          16.586          191.835
     31/12/2007           2007        984.000        502.300        250.000            421.055                62.7          14.886           58.721
     31/12/2008           2008       1311.600        771.100        250.000            530.833                64.9          12.218          209.031
     31/12/2009           2009       1273.500        642.500        250.000            762.150                56.8           7.448           59.759
     31/12/2010           2010        976.199        675.300        250.000            350.310                49.2          14.041          186.164
     31/12/2011           2011       1006.100        458.300        250.000            555.952                67.2          12.090           57.830
     31/12/2012           2012        739.800        504.100        250.000            168.389                22.2          13.170          119.867
     31/12/2013           2013        954.600        460.500        250.000            480.345                72.2          15.024           46.222
     31/12/2014           2014       1020.999        685.300        250.000            382.709                61.0          15.945          185.609
     31/12/2015           2015       1135.699        673.800        250.000            565.902                69.0          12.194           51.423
     31/12/2016           2016        996.999        684.000        250.000            369.748                65.1          17.599          188.747
     31/12/2017           2017        884.200        505.600        250.000            319.062                50.2          15.747           75.504
     31/12/2018           2018       1050.600        604.700        250.000            415.921                59.4          14.281          199.778
     31/12/2019           2019       1093.500        490.100        250.000            612.556                79.5          12.977           53.935
