ApsimVersion = 7.9 r0
Title = Gold_SC_112N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        910.000        541.000        112.000            201.872                16.3           8.082                   0.000                32.574
     31/12/1995           1995        731.000        356.000        112.000            101.004                 3.5           3.486                  51.999                 0.000
     31/12/1996           1996        968.000        504.000        112.000            150.354                 4.5           2.994                   0.000               135.150
     31/12/1997           1997        780.000        435.000        112.000            112.044                 3.1           2.777                  46.015                 0.000
     31/12/1998           1998        710.000        284.000        112.000            141.946                 3.3           2.322                   0.000               109.733
     31/12/1999           1999        796.000        454.000        112.000            103.924                 7.5           7.192                  58.922                 0.000
     31/12/2000           2000        898.000        525.000        112.000            100.815                 2.7           2.658                   0.000               129.525
     31/12/2001           2001        791.000        517.000        112.000            139.068                 3.0           2.155                  46.576                 0.000
     31/12/2002           2002        807.000        432.000        112.000             51.341                 1.4           2.641                   0.000               158.775
     31/12/2003           2003        709.000        292.000        112.000            119.630                 4.2           3.552                  57.628                 0.000
     31/12/2004           2004        863.000        497.000        112.000            132.512                 2.1           1.618                   0.000               144.779
     31/12/2005           2005        797.000        417.000        112.000            137.441                 2.6           1.927                  46.627                 0.000
     31/12/2006           2006       1062.000        629.000        112.000            198.898                 8.0           4.001                   0.000               167.044
     31/12/2007           2007        820.000        481.000        112.000             97.986                 3.9           3.979                  61.255                 0.000
     31/12/2008           2008       1033.000        587.000        112.000            177.460                 4.4           2.481                   0.000               137.889
     31/12/2009           2009        861.000        451.000        112.000            150.038                 3.6           2.390                  34.192                 0.000
     31/12/2010           2010        678.000        451.000        112.000             44.104                 1.9           4.276                   0.000               141.177
     31/12/2011           2011        979.000        523.000        112.000            178.244                12.5           7.018                  58.572                 0.000
     31/12/2012           2012        823.500        530.000        112.000             76.399                 4.1           5.356                   0.000               104.101
     31/12/2013           2013        967.000        436.000        112.000            210.768                22.1          10.472                  13.537                 0.000
     31/12/2014           2014        950.000        527.000        112.000            100.281                 7.7           7.678                   0.000               107.968
     31/12/2015           2015        813.000        537.000        112.000             54.088                 2.5           4.570                  44.565                 0.000
     31/12/2016           2016        956.000        463.000        112.000            138.226                 4.5           3.228                   0.000               157.209
     31/12/2017           2017        946.000        443.000        112.000            198.223                 9.8           4.937                  49.409                 0.000
     31/12/2018           2018        868.000        459.000        112.000            140.020                 8.4           5.969                   0.000               103.893
     31/12/2019           2019       1070.000        541.000        112.000            201.796                12.1           5.994                  51.540                 0.000
