ApsimVersion = 7.9 r0
Title = Hoffman_SC_0N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1013.000        487.000          0.000            313.053                19.2           6.143                   0.000               168.410
     31/12/1995           1995        794.000        359.000          0.000            395.946                 8.6           2.167                  44.254                 0.000
     31/12/1996           1996        997.000        495.000          0.000            208.309                 3.7           1.767                   0.000               182.574
     31/12/1997           1997        838.000        356.000          0.000            492.064                 9.5           1.933                  55.629                 0.000
     31/12/1998           1998       1112.000        567.000          0.000            211.081                 3.4           1.627                   0.000               186.189
     31/12/1999           1999        847.000        395.000          0.000            399.144                11.1           2.791                  60.199                 0.000
     31/12/2000           2000        970.000        625.000          0.000            134.407                 8.6           6.371                   0.000                87.466
     31/12/2001           2001        977.000        650.000          0.000            341.173                14.0           4.114                  40.028                 0.000
     31/12/2002           2002        960.000        436.000          0.000            157.713                 8.4           5.324                   0.000                93.805
     31/12/2003           2003       1133.000        681.000          0.000            495.964                11.6           2.339                  50.042                 0.000
     31/12/2004           2004       1117.000        707.000          0.000            302.870                11.2           3.701                   0.000                83.081
     31/12/2005           2005        990.000        544.000          0.000            274.041                 6.3           2.308                  56.093                 0.000
     31/12/2006           2006       1071.000        596.000          0.000            235.967                10.0           4.251                   0.000                74.907
     31/12/2007           2007       1088.000        502.000          0.000            345.897                 8.6           2.493                  51.589                 0.000
     31/12/2008           2008       1159.000        614.000          0.000            281.676                14.1           5.010                   0.000                84.890
     31/12/2009           2009       1107.000        483.000          0.000            533.976                10.1           1.892                  67.494                 0.000
     31/12/2010           2010       1015.000        660.000          0.000            168.610                 8.0           4.733                   0.000                64.499
     31/12/2011           2011       1348.000        670.000          0.000            684.291                20.1           2.934                  58.197                 0.000
     31/12/2012           2012        871.500        581.000          0.000            168.066                 9.2           5.489                   0.000                30.298
     31/12/2013           2013       1128.000        499.000          0.000            425.391                16.1           3.788                  52.741                 0.000
     31/12/2014           2014       1287.000        800.000          0.000            448.577                12.2           2.712                   0.000                58.371
     31/12/2015           2015       1203.000        646.000          0.000            581.010                 6.9           1.195                  51.931                 0.000
     31/12/2016           2016        988.500        550.000          0.000            219.993                 8.5           3.847                   0.000                67.162
     31/12/2017           2017       1279.000        662.000          0.000            554.345                10.7           1.938                  72.715                 0.000
     31/12/2018           2018       1130.000        666.000          0.000            337.524                19.2           5.674                   0.000                91.529
     31/12/2019           2019       1040.000        370.000          0.000            556.906                14.0           2.507                  54.571                 0.000
