ApsimVersion = 7.9 r0
Title = Hoffman_SC_300N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1013.000        487.000        300.000            313.053                19.2           6.143                   0.000               168.410
     31/12/1995           1995        794.000        359.000        300.000            395.946                 8.6           2.167                  44.254                 0.000
     31/12/1996           1996        997.000        495.000        300.000            208.309                 3.7           1.767                   0.000               182.574
     31/12/1997           1997        838.000        356.000        300.000            492.064                 9.5           1.933                  55.629                 0.000
     31/12/1998           1998       1112.000        567.000        300.000            211.081                 3.4           1.627                   0.000               186.189
     31/12/1999           1999        847.000        395.000        300.000            399.144                11.1           2.791                  60.199                 0.000
     31/12/2000           2000        970.000        625.000        300.000             49.720                17.7          35.680                   0.000               183.329
     31/12/2001           2001        977.000        650.000        300.000            321.383                62.7          19.496                  40.646                 0.000
     31/12/2002           2002        960.000        436.000        300.000            157.098                14.6           9.300                   0.000               153.214
     31/12/2003           2003       1133.000        681.000        300.000            312.501                76.5          24.494                  56.728                 0.000
     31/12/2004           2004       1117.000        707.000        300.000            225.956                54.8          24.271                   0.000               198.107
     31/12/2005           2005        990.000        544.000        300.000            290.025                60.2          20.767                  54.910                 0.000
     31/12/2006           2006       1071.000        596.000        300.000            147.702                39.9          27.004                   0.000               171.436
     31/12/2007           2007       1088.000        502.000        300.000            364.064                81.8          22.479                  51.671                 0.000
     31/12/2008           2008       1159.000        614.000        300.000            203.466                21.4          10.522                   0.000               202.888
     31/12/2009           2009       1107.000        483.000        300.000            531.777                99.2          18.659                  70.763                 0.000
     31/12/2010           2010       1015.000        660.000        300.000             95.858                11.8          12.276                   0.000               163.856
     31/12/2011           2011       1348.000        670.000        300.000            656.491               118.0          17.967                  63.922                 0.000
     31/12/2012           2012        871.500        581.000        300.000             76.982                 4.9           6.400                   0.000                31.327
     31/12/2013           2013       1128.000        499.000        300.000            496.487               112.5          22.665                  52.845                 0.000
     31/12/2014           2014       1287.000        800.000        300.000            325.832                67.9          20.828                   0.000               176.920
     31/12/2015           2015       1203.000        646.000        300.000            549.738                83.7          15.229                  58.725                 0.000
     31/12/2016           2016        988.500        550.000        300.000            157.565                26.5          16.823                   0.000               164.627
     31/12/2017           2017       1279.000        662.000        300.000            515.909               120.4          23.343                  78.307                 0.000
     31/12/2018           2018       1130.000        666.000        300.000            254.355                53.0          20.821                   0.000               176.095
     31/12/2019           2019       1040.000        370.000        300.000            564.391               111.6          19.774                  50.718                 0.000
