ApsimVersion = 7.9 r0
Title = Huggins_SC_224N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        668.000        460.000        224.000            442.511                67.8          15.323                   0.000               176.227
     31/12/1995           1995        876.000        544.000        224.000            548.769               136.0          24.780                  38.741                 0.000
     31/12/1996           1996        843.000        552.000        224.000            432.845                75.9          17.529                   0.000               189.722
     31/12/1997           1997        616.000        457.000        224.000            401.522                34.3           8.549                  55.216                 0.000
     31/12/1998           1998        646.000        454.000        224.000            361.861                27.0           7.457                   0.000               194.216
     31/12/1999           1999        552.000        378.000        224.000            311.233                24.7           7.930                  59.889                 0.000
     31/12/2000           2000        686.000        503.000        224.000            353.458                35.5          10.034                   0.000               192.764
     31/12/2001           2001        798.000        398.000        224.000            517.434                61.5          11.884                  56.186                 0.000
     31/12/2002           2002        612.000        467.000        224.000            340.991                35.1          10.281                   0.000               175.065
     31/12/2003           2003        523.000        368.000        224.000            346.681                40.2          11.595                  54.213                 0.000
     31/12/2004           2004        720.500        510.000        224.000            348.889                29.4           8.421                   0.000               118.716
     31/12/2005           2005        864.000        651.000        224.000            475.954                43.1           9.057                  62.578                 0.000
     31/12/2006           2006        676.000        478.000        224.000            383.033                36.3           9.465                   0.000               142.981
     31/12/2007           2007        711.000        540.000        224.000            452.852                66.5          14.684                  49.126                 0.000
     31/12/2008           2008        634.000        386.000        224.000            363.572                37.4          10.284                   0.000               170.526
     31/12/2009           2009        651.000        501.000        224.000            421.261                34.1           8.106                  49.035                 0.000
     31/12/2010           2010        960.000        760.000        224.000            479.821                62.0          12.932                   0.000               173.201
     31/12/2011           2011        615.000        382.000        224.000            430.794                45.8          10.630                  55.420                 0.000
     31/12/2012           2012        687.500        460.000        224.000            358.711                23.4           6.527                   0.000               138.670
     31/12/2013           2013        576.000        356.000        224.000            430.372                66.6          15.483                  57.970                 0.000
     31/12/2014           2014        711.000        486.000        224.000            394.889                19.8           5.020                   0.000               161.683
     31/12/2015           2015        792.000        601.000        224.000            415.305                49.1          11.833                  17.001                 0.000
     31/12/2016           2016        968.500        758.000        224.000            460.223                89.5          19.454                   0.000               168.620
     31/12/2017           2017        809.000        649.000        224.000            482.405                41.1           8.526                  50.087                 0.000
     31/12/2018           2018       1062.000        787.000        224.000            554.186                77.8          14.042                   0.000               175.836
     31/12/2019           2019        990.000        591.000        224.000            622.791                46.9           7.531                  52.589                 0.000
