ApsimVersion = 7.9 r0
Title = Huggins_SC_56N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        668.000        460.000         56.000            442.511                67.8          15.323          176.227
     31/12/1995           1995        876.000        544.000         56.000            548.769               136.0          24.780           38.741
     31/12/1996           1996        843.000        552.000         56.000            432.845                75.9          17.529          189.722
     31/12/1997           1997        616.000        457.000         56.000            401.522                34.3           8.549           55.216
     31/12/1998           1998        646.000        454.000         56.000            361.861                27.0           7.457          194.216
     31/12/1999           1999        552.000        378.000         56.000            311.233                24.7           7.930           59.889
     31/12/2000           2000        686.000        503.000         56.000            354.319                10.3           2.916          181.434
     31/12/2001           2001        798.000        398.000         56.000            527.568                17.4           3.304           56.611
     31/12/2002           2002        612.000        467.000         56.000            346.119                 8.0           2.321          156.894
     31/12/2003           2003        523.000        368.000         56.000            347.668                 9.1           2.604           54.155
     31/12/2004           2004        720.500        510.000         56.000            353.761                 6.0           1.708          107.084
     31/12/2005           2005        864.000        651.000         56.000            493.748                 7.2           1.449           62.320
     31/12/2006           2006        676.000        478.000         56.000            382.903                12.4           3.238          138.560
     31/12/2007           2007        711.000        540.000         56.000            459.658                15.0           3.266           48.781
     31/12/2008           2008        634.000        386.000         56.000            367.346                 9.5           2.578          167.463
     31/12/2009           2009        651.000        501.000         56.000            423.275                 7.2           1.692           49.012
     31/12/2010           2010        960.000        760.000         56.000            487.297                12.7           2.596          146.822
     31/12/2011           2011        615.000        382.000         56.000            430.545                16.3           3.775           55.341
     31/12/2012           2012        687.500        460.000         56.000            365.344                 8.4           2.301          103.942
     31/12/2013           2013        576.000        356.000         56.000            439.364                17.3           3.945           57.726
     31/12/2014           2014        711.000        486.000         56.000            407.962                 6.1           1.496          121.112
     31/12/2015           2015        792.000        601.000         56.000            426.639                 8.2           1.912           16.863
     31/12/2016           2016        968.500        758.000         56.000            474.978                13.6           2.870          147.940
     31/12/2017           2017        809.000        649.000         56.000            494.576                 9.6           1.950           50.555
     31/12/2018           2018       1062.000        787.000         56.000            569.103                17.7           3.119          131.283
     31/12/2019           2019        990.000        591.000         56.000            624.790                12.0           1.921           52.240
