ApsimVersion = 7.9 r0
Title = Kladivko_SC_168N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1015.000        394.000        168.000            132.897                12.8           9.633                   0.000               194.869
     31/12/1995           1995       1221.000        556.000        168.000            171.833                 8.1           4.734                  25.099                 0.000
     31/12/1996           1996       1431.000        431.000        168.000            168.406                10.7           6.341                   0.000               189.213
     31/12/1997           1997       1170.000        592.000        168.000            283.055                 3.0           1.058                  22.316                 0.000
     31/12/1998           1998       1294.000        614.000        168.000             33.705                 1.1           3.136                   0.000               171.752
     31/12/1999           1999        946.000        354.000        168.000            150.300                 2.7           1.786                  29.413                 0.000
     31/12/2000           2000       1400.000        736.000        168.000             87.336                 7.2           8.230                   0.000               177.633
     31/12/2001           2001       1285.000        851.000        168.000            121.614                 6.8           5.575                  24.485                 0.000
     31/12/2002           2002       1401.000        563.000        168.000            108.081                13.3          12.316                   0.000               178.312
     31/12/2003           2003       1319.000        699.000        168.000            193.672                 8.9           4.576                  29.600                 0.000
     31/12/2004           2004       1383.500        753.000        168.000            149.626                10.6           7.084                   0.000               209.880
     31/12/2005           2005       1240.000        597.000        168.000            173.676                 5.1           2.923                  27.884                 0.000
     31/12/2006           2006       1535.000        801.000        168.000            129.530                11.8           9.104                   0.000               162.618
     31/12/2007           2007       1138.000        467.000        168.000            210.070                11.0           5.245                  33.459                 0.000
     31/12/2008           2008       1515.000        613.000        168.000            156.832                 9.4           6.011                   0.000               214.257
     31/12/2009           2009       1395.000        890.000        168.000            199.271                 3.4           1.698                  32.850                 0.000
     31/12/2010           2010        964.000        496.000        168.000             59.682                 7.5          12.499                   0.000               187.903
     31/12/2011           2011       1489.000        403.000        168.000            451.088                14.2           3.146                  31.871                 0.000
     31/12/2012           2012        981.000        463.000        168.000             40.196                 2.4           5.952                   0.000               197.073
     31/12/2013           2013       1237.000        546.000        168.000            211.772                 9.4           4.461                  30.591                 0.000
     31/12/2014           2014       1271.000        674.000        168.000             74.947                 9.4          12.504                   0.000               171.505
     31/12/2015           2015       1390.000        705.000        168.000            248.296                10.5           4.211                  20.627                 0.000
     31/12/2016           2016       1305.000        674.000        168.000             11.056                 1.0           9.289                   0.000               166.325
     31/12/2017           2017       1413.000        652.000        168.000            223.187                13.5           6.065                  36.808                 0.000
     31/12/2018           2018       1487.000        737.000        168.000            156.422                11.4           7.282                   0.000               179.043
     31/12/2019           2019       1419.000        485.000        168.000            419.643                12.1           2.894                  27.581                 0.000
