ApsimVersion = 7.9 r0
Title = Masarik_SC_0N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        952.000        650.000          0.000            343.862                37.8          10.985          108.999
     31/12/1995           1995        922.000        545.000          0.000            405.436                31.3           7.725           47.508
     31/12/1996           1996        824.000        532.000          0.000            221.724                16.9           7.639          112.068
     31/12/1997           1997        818.000        564.000          0.000            436.795                38.6           8.826           47.150
     31/12/1998           1998       1023.000        561.000          0.000            275.924                19.9           7.225          192.634
     31/12/1999           1999        965.000        539.000          0.000            461.752                50.6          10.961           61.663
     31/12/2000           2000       1108.000        785.000          0.000            329.726                12.8           3.894           96.938
     31/12/2001           2001       1148.000        773.000          0.000            548.744                 6.4           1.175           39.048
     31/12/2002           2002        745.000        409.000          0.000            224.099                 3.3           1.491          151.196
     31/12/2003           2003        904.000        410.000          0.000            433.872                 3.1           0.719           55.622
     31/12/2004           2004       1072.000        730.000          0.000            368.831                 3.9           1.054           49.027
     31/12/2005           2005        739.000        439.000          0.000            312.311                 4.1           1.299           65.993
     31/12/2006           2006       1081.000        679.000          0.000            361.003                 6.4           1.775          107.273
     31/12/2007           2007       1127.000        733.000          0.000            463.175                 3.0           0.653           60.895
     31/12/2008           2008       1272.000        713.000          0.000            399.989                 9.5           2.366           86.047
     31/12/2009           2009       1009.000        474.000          0.000            476.492                 2.3           0.492           49.035
     31/12/2010           2010       1110.000        834.000          0.000            293.164                 3.4           1.145          123.014
     31/12/2011           2011        867.000        407.000          0.000            416.376                 3.6           0.865           51.184
     31/12/2012           2012        705.500        378.000          0.000            205.475                 3.0           1.465           99.974
     31/12/2013           2013       1051.000        525.000          0.000            529.994                 5.9           1.108           43.499
     31/12/2014           2014        914.000        546.000          0.000            274.576                 2.6           0.941           60.852
     31/12/2015           2015       1014.000        588.000          0.000            490.232                 2.7           0.545           26.255
     31/12/2016           2016       1138.500        832.000          0.000            319.727                 2.6           0.814           98.257
     31/12/2017           2017        939.000        499.000          0.000            487.879                 3.4           0.690           56.782
     31/12/2018           2018       1193.000        768.000          0.000            384.199                 2.9           0.749           99.805
     31/12/2019           2019       1246.000        719.000          0.000            611.381                 3.2           0.529           46.257
