ApsimVersion = 7.9 r0
Title = Masarik_SC_250N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        952.000        650.000        250.000            343.862                37.8          10.985                   0.000               108.999
     31/12/1995           1995        922.000        545.000        250.000            405.436                31.3           7.725                  47.508                 0.000
     31/12/1996           1996        824.000        532.000        250.000            221.724                16.9           7.639                   0.000               112.068
     31/12/1997           1997        818.000        564.000        250.000            436.795                38.6           8.826                  47.150                 0.000
     31/12/1998           1998       1023.000        561.000        250.000            275.924                19.9           7.225                   0.000               192.634
     31/12/1999           1999        965.000        539.000        250.000            461.752                50.6          10.961                  61.663                 0.000
     31/12/2000           2000       1108.000        785.000        250.000            322.459                38.2          11.849                   0.000               132.859
     31/12/2001           2001       1148.000        773.000        250.000            520.006                51.3           9.863                  40.198                 0.000
     31/12/2002           2002        745.000        409.000        250.000            209.846                18.5           8.810                   0.000               221.137
     31/12/2003           2003        904.000        410.000        250.000            423.097                50.0          11.829                  58.801                 0.000
     31/12/2004           2004       1072.000        730.000        250.000            319.814                27.2           8.494                   0.000               136.375
     31/12/2005           2005        739.000        439.000        250.000            309.731                28.6           9.221                  67.486                 0.000
     31/12/2006           2006       1081.000        679.000        250.000            325.176                36.9          11.336                   0.000               199.733
     31/12/2007           2007       1127.000        733.000        250.000            447.887                46.0          10.280                  65.538                 0.000
     31/12/2008           2008       1272.000        713.000        250.000            388.360                33.8           8.692                   0.000               142.726
     31/12/2009           2009       1009.000        474.000        250.000            485.847                47.4           9.749                  49.941                 0.000
     31/12/2010           2010       1110.000        834.000        250.000            268.382                30.7          11.424                   0.000               170.670
     31/12/2011           2011        867.000        407.000        250.000            400.166                56.9          14.225                  56.735                 0.000
     31/12/2012           2012        705.500        378.000        250.000            190.053                20.7          10.911                   0.000               205.665
     31/12/2013           2013       1051.000        525.000        250.000            531.295                57.0          10.730                  46.056                 0.000
     31/12/2014           2014        914.000        546.000        250.000            251.619                20.0           7.935                   0.000               151.160
     31/12/2015           2015       1014.000        588.000        250.000            412.541                53.5          12.957                  28.115                 0.000
     31/12/2016           2016       1138.500        832.000        250.000            271.414                46.9          17.296                   0.000               185.839
     31/12/2017           2017        939.000        499.000        250.000            469.294                56.8          12.093                  62.381                 0.000
     31/12/2018           2018       1193.000        768.000        250.000            334.819                38.9          11.626                   0.000               190.411
     31/12/2019           2019       1246.000        719.000        250.000            600.381                53.8           8.961                  50.888                 0.000
