ApsimVersion = 7.9 r0
Title = Masarik_SC_56N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        952.000        650.000         56.000            343.862                37.8          10.985                   0.000               108.999
     31/12/1995           1995        922.000        545.000         56.000            405.436                31.3           7.725                  47.508                 0.000
     31/12/1996           1996        824.000        532.000         56.000            221.724                16.9           7.639                   0.000               112.068
     31/12/1997           1997        818.000        564.000         56.000            436.795                38.6           8.826                  47.150                 0.000
     31/12/1998           1998       1023.000        561.000         56.000            275.924                19.9           7.225                   0.000               192.634
     31/12/1999           1999        965.000        539.000         56.000            461.752                50.6          10.961                  61.663                 0.000
     31/12/2000           2000       1108.000        785.000         56.000            322.442                15.9           4.932                   0.000               132.528
     31/12/2001           2001       1148.000        773.000         56.000            550.195                 6.7           1.211                  38.890                 0.000
     31/12/2002           2002        745.000        409.000         56.000            213.844                 3.6           1.661                   0.000               203.629
     31/12/2003           2003        904.000        410.000         56.000            460.689                 2.8           0.616                  56.150                 0.000
     31/12/2004           2004       1072.000        730.000         56.000            368.576                 4.5           1.234                   0.000               102.509
     31/12/2005           2005        739.000        439.000         56.000            330.609                 4.0           1.210                  65.480                 0.000
     31/12/2006           2006       1081.000        679.000         56.000            340.476                 4.9           1.453                   0.000               181.452
     31/12/2007           2007       1127.000        733.000         56.000            502.058                 2.8           0.555                  59.712                 0.000
     31/12/2008           2008       1272.000        713.000         56.000            396.095                 8.7           2.200                   0.000               122.100
     31/12/2009           2009       1009.000        474.000         56.000            514.592                 2.4           0.474                  47.423                 0.000
     31/12/2010           2010       1110.000        834.000         56.000            272.474                 4.8           1.768                   0.000               168.959
     31/12/2011           2011        867.000        407.000         56.000            420.211                 5.9           1.403                  51.858                 0.000
     31/12/2012           2012        705.500        378.000         56.000            192.555                 3.7           1.897                   0.000               198.782
     31/12/2013           2013       1051.000        525.000         56.000            547.398                 7.0           1.275                  43.389                 0.000
     31/12/2014           2014        914.000        546.000         56.000            262.918                 2.9           1.089                   0.000               121.913
     31/12/2015           2015       1014.000        588.000         56.000            496.837                 3.2           0.642                  26.135                 0.000
     31/12/2016           2016       1138.500        832.000         56.000            276.206                 3.3           1.208                   0.000               178.580
     31/12/2017           2017        939.000        499.000         56.000            509.604                 4.2           0.833                  56.677                 0.000
     31/12/2018           2018       1193.000        768.000         56.000            352.709                 2.4           0.692                   0.000               169.040
     31/12/2019           2019       1246.000        719.000         56.000            655.315                 3.2           0.492                  45.738                 0.000
