ApsimVersion = 7.9 r0
Title = RandIragSC_168N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        880.000        658.000        168.000            111.046                13.6          12.258          155.789
     31/12/1995           1995       1051.000        718.000        168.000            415.692                60.2          14.470           47.742
     31/12/1996           1996        795.000        567.000        168.000            106.684                 2.2           2.025          173.930
     31/12/1997           1997        687.000        424.000        168.000            234.915                 7.6           3.223           47.399
     31/12/1998           1998        891.000        652.000        168.000            141.198                 3.7           2.635          195.063
     31/12/1999           1999        740.000        524.000        168.000            287.536                22.1           7.692           65.032
     31/12/2000           2000        833.000        612.000        168.000             82.817                 4.3           5.201          163.083
     31/12/2001           2001        959.000        465.000        168.000            385.586                49.6          12.854           66.133
     31/12/2002           2002        804.000        647.000        168.000             46.710                 1.9           3.984          169.991
     31/12/2003           2003        760.000        559.000        168.000            217.906                34.8          15.991           74.047
     31/12/2004           2004        893.500        766.000        168.000             92.908                 3.8           4.140          162.948
     31/12/2005           2005       1005.000        794.000        168.000            302.131                22.3           7.381           72.532
     31/12/2006           2006        731.000        522.000        168.000             31.731                 0.8           2.508          165.071
     31/12/2007           2007        917.000        661.000        168.000            356.750                32.2           9.017           54.176
     31/12/2008           2008        815.000        567.000        168.000             62.058                 2.2           3.508          178.586
     31/12/2009           2009        869.000        679.000        168.000            316.222                25.0           7.916           60.488
     31/12/2010           2010       1201.000       1038.000        168.000            189.980                11.6           6.081          148.027
     31/12/2011           2011        829.000        538.000        168.000            428.616                38.8           9.043           56.927
     31/12/2012           2012        825.000        580.000        168.000             98.323                 4.5           4.615          181.551
     31/12/2013           2013        821.000        541.000        168.000            184.433                30.5          16.536           61.276
     31/12/2014           2014        819.000        602.000        168.000             98.081                 3.8           3.882          174.353
     31/12/2015           2015       1009.000        838.000        168.000            358.943                24.8           6.902           18.305
     31/12/2016           2016       1027.000        802.000        168.000            108.596                11.1          10.189          176.073
     31/12/2017           2017        894.000        752.000        168.000            308.987                33.3          10.767           68.076
     31/12/2018           2018       1093.000        846.000        168.000            157.265                11.0           6.987          158.106
     31/12/2019           2019       1325.000        783.000        168.000            627.174                46.6           7.424           56.868
