ApsimVersion = 7.9 r0
Title = Sutherland_SC_spring_NR168
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994              ?        550.460        168.000                  ?                   ?         100.000                ?
     31/12/1995           1995        802.428        581.547        168.000            188.470                19.7          10.466           67.190
     31/12/1996           1996        682.592        486.478        168.000            118.602                 1.4           1.141          225.878
     31/12/1997           1997        659.417        458.680        168.000            112.486                 3.4           2.983           48.200
     31/12/1998           1998        827.994        544.054        168.000            132.043                 2.8           2.132          198.016
     31/12/1999           1999        566.186        358.910        168.000             99.014                 7.8           7.888           62.384
     31/12/2000           2000        588.510        374.668        168.000            118.983                 4.4           3.702          214.676
     31/12/2001           2001        760.490        467.872        168.000            187.523                19.2          10.219           57.927
     31/12/2002           2002        601.310        475.078        168.000             47.592                 0.7           1.413          213.310
     31/12/2003           2003        679.553        483.356        168.000            130.468                 3.9           3.007           57.198
     31/12/2004           2004        982.960        745.996        168.000            116.946                 1.0           0.841          238.543
     31/12/2005           2005        795.539        567.211        168.000            116.200                 1.3           1.154           59.163
     31/12/2006           2006        619.500        369.064        168.000             74.483                 1.8           2.443          148.214
     31/12/2007           2007        926.102        683.270        168.000            209.141                11.3           5.399           60.850
     31/12/2008           2008        794.702        509.720        168.000            132.000                 2.9           2.220          229.546
     31/12/2009           2009        611.608        404.596        168.000             89.085                 1.9           2.201           53.616
     31/12/2010           2010        994.688        782.074        168.000            206.892                 6.9           3.352          230.562
     31/12/2011           2011        510.786        375.668        168.000            102.756                 2.0           1.975           39.163
     31/12/2012           2012        619.490        386.080        168.000             47.908                 0.2           0.368          140.781
     31/12/2013           2013        779.258        577.844        168.000            187.772                19.5          10.376           72.318
     31/12/2014           2014        662.412        523.494        168.000             45.119                 0.2           0.514          202.993
     31/12/2015           2015        824.760        429.514        168.000            146.303                 1.9           1.300           56.208
     31/12/2016           2016        904.802        578.726        168.000            111.456                 3.3           2.896          221.696
     31/12/2017           2017        621.748        406.912        168.000            121.415                 6.8           5.637           62.144
     31/12/2018           2018        951.214        619.990        168.000            176.810                 4.0           2.221          238.123
     31/12/2019           2019        883.171        509.288        168.000            215.566                 9.5           4.389           59.543
