site_id,rotation,crop,nrate_kgha,year,leaching_kgha,nyear_leach_kgha_tot,yield_soy_buac,yield_maize_buac,pre_leaching_kgha,in_leaching_kgha,post_leaching_kgha
gent,cc,corn,0,2000,9.6,13.100000000000001,0,96.305,3.8,2,3.7
gent,cc,corn,0,2001,14.7,13.600000000000001,0,38.151,7.4,4.5,2.8
gent,cc,corn,0,2002,9.7,7.6,0,79.715,6.3,1,2.1
gent,cc,corn,0,2003,9.5,8.2,0,50.589,4.5,2.4,2.5
gent,cc,corn,0,2004,9.5,10.6,0,45.635,3.3,2.3,3.9
gent,cc,corn,0,2005,10.5,15.6,0,43.975,4.4,0.6,5.5
gent,cc,corn,0,2006,15,11,0,102.721,9.5,1.5,3.9
gent,cc,corn,0,2007,12.1,16.2,0,46.834,5.6,0.9,5.6
gent,cc,corn,0,2008,14,7.6,0,46.091,9.7,3.4,0.9
gent,cc,corn,0,2009,5.4,3.9999999999999996,0,29.767,3.3,0.7,1.4
gent,cc,corn,0,2010,6.7,12.8,0,43.474,1.9,1.8,3
gent,cc,corn,0,2011,13.3,7.699999999999999,0,74.052,8,1.2,4.1
gent,cc,corn,0,2012,7.6,14.8,0,34.848,2.4,2,3.2
gent,cc,corn,0,2013,13.2,7.800000000000001,0,54.189,9.6,1.6,1.9
gent,cc,corn,0,2014,7.8,5.8,0,11.732,4.3,2.4,1
gent,cc,corn,0,2015,8.3,8.3,0,47.19,2.4,2.7,3.2
gent,cc,corn,0,2016,6,7.6,0,61.039,2.4,1.2,2.4
gent,cc,corn,0,2017,8.7,11.8,0,79.45,4,2.2,2.3
gent,cc,corn,0,2018,12.6,16.3,0,46.507,7.3,1.5,3.8
gent,cc,corn,0,2019,12.6,NA,0,37.842,11,0.9,0.7
gent,cc,corn,112,2000,19.6,21.799999999999997,0,190.988,7,8.1,4.4
gent,cc,corn,112,2001,21.7,28.4,0,175.653,9.3,7.3,5.1
gent,cc,corn,112,2002,27.5,17.3,0,177.517,16,7.4,2.7
gent,cc,corn,112,2003,17.2,16.299999999999997,0,188.383,7.2,5.7,4.1
gent,cc,corn,112,2004,21.9,21.9,0,171.496,6.5,9.6,5.7
gent,cc,corn,112,2005,14.3,23.9,0,156.206,6.6,0.9,6.7
gent,cc,corn,112,2006,29.5,26.1,0,190.062,16.3,4.7,8.4
gent,cc,corn,112,2007,23.5,28.4,0,181.721,13,0.7,9.7
gent,cc,corn,112,2008,35,31.200000000000003,0,167.615,18,15.3,1.6
gent,cc,corn,112,2009,19.5,8.3,0,123.689,14.3,3.1,2
gent,cc,corn,112,2010,20.6,38.800000000000004,0,184.009,3.2,11.8,5.6
gent,cc,corn,112,2011,35.3,18.5,0,187.691,21.4,8.1,5.7
gent,cc,corn,112,2012,13.2,34.8,0,112.715,4.7,1.6,7
gent,cc,corn,112,2013,38.5,21.1,0,190.153,26.2,10.2,2.1
gent,cc,corn,112,2014,18.2,14.3,0,171.541,8.8,7.5,1.8
gent,cc,corn,112,2015,28.1,28.900000000000002,0,174.993,5,17.3,5.8
gent,cc,corn,112,2016,17,23.099999999999998,0,174.488,5.8,5.5,5.7
gent,cc,corn,112,2017,25.5,27.5,0,226.086,11.9,9.6,3.3
gent,cc,corn,112,2018,26.8,40.1,0,189.755,14.6,5.1,7.1
gent,cc,corn,112,2019,32.5,NA,0,174.93,27.9,2.5,1.7
gent,cc,corn,168,2000,29.4,38.199999999999996,0,198.653,8.7,10.6,9.9
gent,cc,corn,168,2001,42.5,55.9,0,155.853,17.7,13,11.6
gent,cc,corn,168,2002,50.2,28.099999999999998,0,188.372,31.3,12.7,3.8
gent,cc,corn,168,2003,31.5,34.9,0,190.407,11.6,8.9,10.9
gent,cc,corn,168,2004,46,46,0,193.022,15.1,16.3,14.6
gent,cc,corn,168,2005,29.4,44.699999999999996,0,162.611,15.1,1.8,12.4
gent,cc,corn,168,2006,67.2,71.6,0,190.5,30.5,10.5,26.1
gent,cc,corn,168,2007,63.1,69.8,0,182.762,35,2,25.9
gent,cc,corn,168,2008,76.7,63.6,0,202.781,41.9,27.9,6.7
gent,cc,corn,168,2009,44,22.9,0,136.794,29,6.8,8.1
gent,cc,corn,168,2010,40.4,71.5,0,185.049,8,20.1,12.4
gent,cc,corn,168,2011,62.2,31.200000000000003,0,208.509,39,13.4,9.5
gent,cc,corn,168,2012,20.7,54.199999999999996,0,113.332,8.3,2,10.4
gent,cc,corn,168,2013,62.2,43.099999999999994,0,191.089,41.8,14.7,5.5
gent,cc,corn,168,2014,51.1,44.300000000000004,0,186.776,22.9,18.6,9.4
gent,cc,corn,168,2015,70.3,68.4,0,190.468,16.3,35.2,18.6
gent,cc,corn,168,2016,49,60.900000000000006,0,181.565,14.6,18,16.3
gent,cc,corn,168,2017,54,59.49999999999999,0,229.42,26.6,17.2,8.9
gent,cc,corn,168,2018,66,93.30000000000001,0,190.603,33.4,11.4,21.1
gent,cc,corn,168,2019,76.3,NA,0,176.545,60.8,4.6,10.2
gent,cc,corn,224,2000,54.3,71.9,0,199.817,15.9,15,23.2
gent,cc,corn,224,2001,82.4,106.60000000000001,0,165.017,33.7,23.4,25.2
gent,cc,corn,224,2002,90,53.00000000000001,0,193.31,58,18.8,9.6
gent,cc,corn,224,2003,65.6,74,0,190.624,24.6,14.4,26.4
gent,cc,corn,224,2004,95.6,94.69999999999999,0,193.249,33.2,28.3,33.9
gent,cc,corn,224,2005,58.5,77.2,0,163.046,32.5,3.2,22.7
gent,cc,corn,224,2006,112.7,118.10000000000001,0,190.942,51.3,16.9,44.2
gent,cc,corn,224,2007,103.5,112.39999999999999,0,183.433,57,3.5,42.8
gent,cc,corn,224,2008,126.2,115,0,203.243,66.1,41.2,18.6
gent,cc,corn,224,2009,96.4,59.800000000000004,0,136.835,55.2,17.1,23.9
gent,cc,corn,224,2010,72.4,116.4,0,185.08,18.8,30.5,23
gent,cc,corn,224,2011,103.4,57.599999999999994,0,208.834,62.9,19.5,20.8
gent,cc,corn,224,2012,39.1,91.20000000000002,0,113.438,17.3,3.2,18.6
gent,cc,corn,224,2013,102.1,78.89999999999999,0,190.886,69.4,20.7,11.8
gent,cc,corn,224,2014,102.1,86.5,0,186.843,46.4,35.5,19.9
gent,cc,corn,224,2015,124,119.60000000000001,0,190.614,31.1,55.3,37.2
gent,cc,corn,224,2016,86.8,99.89999999999999,0,182.085,27.1,32.8,26.7
gent,cc,corn,224,2017,82.4,95.7,0,229.725,40.4,24.4,15.7
gent,cc,corn,224,2018,110.6,148.5,0,191.006,55.6,19.2,35.7
gent,cc,corn,224,2019,121.2,NA,0,176.787,93.6,6.6,20.1
gent,cc,corn,250,2000,65.7,86,0,199.87,20,17.4,27.9
gent,cc,corn,250,2001,99.8,128.4,0,156.54,40.7,28.2,30.7
gent,cc,corn,250,2002,107.5,64.5,0,188.986,69.5,21.7,12.2
gent,cc,corn,250,2003,81.3,91.5,0,191.284,30.6,17.4,33
gent,cc,corn,250,2004,118.4,118.39999999999999,0,193.291,41.1,33.4,43.7
gent,cc,corn,250,2005,73.2,93.9,0,163.345,41.3,3.9,27.9
gent,cc,corn,250,2006,135.8,141.5,0,191.137,62.1,20,53.4
gent,cc,corn,250,2007,124.2,134.5,0,183.567,68.1,4.2,51.6
gent,cc,corn,250,2008,151,139.2,0,203.345,78.7,47.8,24.2
gent,cc,corn,250,2009,120.7,77,0,136.853,67.2,22,31.2
gent,cc,corn,250,2010,87.2,137.4,0,185.071,23.8,35.3,28.1
gent,cc,corn,250,2011,122.7,69.9,0,208.977,74,22.2,26.2
gent,cc,corn,250,2012,47.6,107.9,0,113.568,21.5,3.7,22.4
gent,cc,corn,250,2013,119.8,95.1,0,190.805,81.8,22.9,14.8
gent,cc,corn,250,2014,125.8,106.3,0,187.006,57.4,42.9,25
gent,cc,corn,250,2015,149.8,144.10000000000002,0,190.69,38.4,64.8,46.2
gent,cc,corn,250,2016,104.3,117.6,0,182.325,33.1,39.6,31.4
gent,cc,corn,250,2017,95.1,113,0,229.877,46.6,27.4,19.1
gent,cc,corn,250,2018,131.6,173.2,0,191.2,66.5,22.7,42.3
gent,cc,corn,250,2019,141.4,NA,0,176.82,108.2,7.2,24.9
gent,cc,corn,300,2000,88.8,114.8,0,199.961,27.9,22.2,38.2
gent,cc,corn,300,2001,133.9,171.7,0,156.89,54.4,37,42.3
gent,cc,corn,300,2002,141.5,86.3,0,189.357,92.4,26.9,17.3
