year,rotation,site_id,nrate_kgha,leaching_kgha
2000,cc,gent,0,9.6
2000,cc,gent,56,13.7
2000,cc,gent,112,19.6
2000,cc,gent,168,29.4
2000,cc,gent,224,54.3
2000,cc,gent,250,65.7
2000,cc,gent,300,88.8
2000,cc,gilm,0,11.1
2000,cc,gilm,56,13.7
2000,cc,gilm,112,33.5
2000,cc,gilm,168,56.3
2000,cc,gilm,224,78.4
2000,cc,gilm,250,88.5
2000,cc,gilm,300,109.1
2000,cc,gold,0,1.1
2000,cc,gold,56,1.3
2000,cc,gold,112,2.1
2000,cc,gold,168,9.6
2000,cc,gold,224,21
2000,cc,gold,250,26.2
2000,cc,gold,300,35.8
2000,cc,hoff,0,17.6
2000,cc,hoff,56,20.8
2000,cc,hoff,112,23
2000,cc,hoff,168,39.4
2000,cc,hoff,224,60.7
2000,cc,hoff,250,71.1
2000,cc,hoff,300,92.1
2000,cc,hugg,0,12.6
2000,cc,hugg,56,14.5
2000,cc,hugg,112,25.4
2000,cc,hugg,168,55.9
2000,cc,hugg,224,82.6
2000,cc,hugg,250,95.1
2000,cc,hugg,300,122.7
2000,cc,klad,0,4.5
2000,cc,klad,56,5.1
2000,cc,klad,112,4.9
2000,cc,klad,168,10
2000,cc,klad,224,18.8
2000,cc,klad,250,23.1
2000,cc,klad,300,31
2000,cc,masa,0,8.1
2000,cc,masa,56,13.4
2000,cc,masa,112,24.4
2000,cc,masa,168,48.8
2000,cc,masa,224,74.2
2000,cc,masa,250,86
2000,cc,masa,300,108.7
2000,cc,rand,0,3.8
2000,cc,rand,56,5
2000,cc,rand,112,6.2
2000,cc,rand,168,12.7
2000,cc,rand,224,23.6
2000,cc,rand,250,28.9
2000,cc,rand,300,38.5
2000,cc,suth,0,2
2000,cc,suth,56,2.1
2000,cc,suth,112,2.3
2000,cc,suth,168,2.9
2000,cc,suth,224,8.5
2000,cc,suth,250,11.2
2000,cc,suth,300,16
2000,cs,gent,0,10.3
2000,cs,gent,56,12.6
2000,cs,gent,112,18.3
2000,cs,gent,168,28.1
2000,cs,gent,224,37.8
2000,cs,gent,250,42.2
2000,cs,gent,300,50.8
2000,cs,gilm,0,9.5
2000,cs,gilm,56,11.2
2000,cs,gilm,112,21.1
2000,cs,gilm,168,31.7
2000,cs,gilm,224,42.4
2000,cs,gilm,250,46.9
