site_id,depth_inc,depth_cat,om_pct,clay_pct,texture,bd,air_dry,ll,dul,sat,ks,ccl,paw,no3ppm,nh4ppm,sw,p_h
rand,0-5,1,3,32,clay loam,1.05,0.103,0.206,0.367,0.523,233.6,0.206,8.05,7.5,7.5,0.33,7.41
rand,5-10,2,3,32,clay loam,1.05,0.103,0.206,0.367,0.523,233.6,0.206,8.05,7.5,7.5,0.33,7.41
rand,10-15,3,3,32.1,clay loam,1.06,0.103,0.206,0.367,0.521,226.8,0.206,8.05,7.5,7.5,0.33,7.44
rand,15-30,4,3,32.4,clay loam,1.13,0.207,0.207,0.363,0.51,193.2,0.207,23.4,7.5,7.5,0.32,7.59
rand,30-45,5,2.97,32.7,clay loam,1.23,0.207,0.207,0.358,0.494,153.3,0.247,22.65,7.425,7.425,0.31,7.8
rand,45-60,6,2.21,30.6,clay loam,1.28,0.193,0.193,0.342,0.472,139.5,0.245,22.35,5.525,5.525,0.31,7.98
rand,60-80,7,1.28,27.4,clay loam,1.33,0.171,0.171,0.316,0.444,134.3,0.236,29,3.2,3.2,0.32,8.17
rand,80-100,8,0.74,24.1,clay loam,1.39,0.15,0.15,0.288,0.422,133,0.225,27.6,1.85,1.85,0.35,8.39
rand,100-120,9,0.35,21,clay loam,1.46,0.13,0.13,0.265,0.404,133,0.215,27,0.875,0.875,0.39,8.6
rand,120-150,10,0.08,17.1,clay loam,1.55,0.13,0.13,0.26,0.389,133,0.224,39,0.5,0.5,0.45,8.86
rand,150-180,11,0.01,15,clay loam,1.6,0.13,0.13,0.255,0.385,18.054,0.231,37.5,0.5,0.5,0.49,9
rand,180-210,12,0.01,15,clay loam,1.6,0.13,0.13,0.25,0.34,14.781,0.235,36,0.5,0.5,0.49,9
rand,210-240,13,0,15,clay loam,1.6,0.13,0.13,0.25,0.31,12.102,0.238,36,0.5,0.5,0.49,9
rand,240-270,14,0,15,clay loam,1.6,0.13,0.13,0.25,0.31,9.908,0.238,36,0.5,0.5,0.49,9
