site,rotation,rate,crop,year,crop_yield,corn_buac,soy_buac,eo_annual,runoff_annual,drainage,gross_miner,net_miner,nloss_total,denitr,n_leach_annual,avg_wt,no3_at_harvest,no3_at_sowing
S,CC,0,corn,2000,203.822,203.822,0,871.667,24.018,-138.872,186,157,10.012,10.4,-0.372,1335.196,39.3,87.3
S,CC,0,corn,2001,47.943,47.943,0,809.16,65.602,265.762,104.9,81.8,20.309,7.5,12.863,937.958,39.5,31.9
S,CC,0,corn,2002,108.184,108.184,0,925.839,33.827,11.437,127.4,110.4,12.182,9.6,2.529,1186.507,39.2,36.9
S,CC,0,corn,2003,38.331,38.331,0,844.952,44.292,140.076,89.5,60.1,12.238,5.5,6.758,1061.512,34.9,32.5
S,CC,0,corn,2004,13.452,13.452,0,852.007,172.784,318.757,76.9,55.6,7.242,4.1,3.09,887.081,23.1,29.8
S,CC,0,corn,2005,43.4,43.4,0,866.021,43.616,244.985,93.9,69.4,8.224,5.9,2.318,958.684,30.1,19.1
S,CC,0,corn,2006,50.998,50.998,0,848.873,40.022,48.315,109.7,90.9,8.613,5.1,3.477,1154.016,28.3,25.6
S,CC,0,corn,2007,52.231,52.231,0,888.151,118.943,362.256,87.2,58.6,14.43,7.2,7.197,842.858,23.7,22.8
S,CC,0,corn,2008,28.213,28.213,0,841.189,51.621,201.516,83.1,65,6.503,3.1,3.412,1001.398,19,17.6
S,CC,0,corn,2009,29.454,29.454,0,821.3,4.502,147.412,69.7,48.3,4.428,2.1,2.325,1055.262,14.7,16
S,CC,0,corn,2010,14.815,14.815,0,834.839,158.939,405.444,67.6,45.6,7.828,3.2,4.617,802.334,15.4,13.4
S,CC,0,corn,2011,43.981,43.981,0,893.401,29.574,10.625,86.6,67.8,2.681,2.5,0.231,1180.143,21.9,14.5
S,CC,0,corn,2012,41.862,41.862,0,1007.302,29.426,-48.026,142.2,112.4,9.959,8.6,1.329,1252.16,44.7,19.6
S,CC,0,corn,2013,77.208,77.208,0,879.798,109.302,177.118,78.6,57.6,16.815,6.5,10.336,1024.861,22.3,35.9
S,CC,0,corn,2014,25.333,25.333,0,848.417,67.293,75.919,73.6,52.4,3.284,3,0.278,1125.139,18.1,18.3
S,CC,0,corn,2015,26.672,26.672,0,861.578,47.483,278.439,74.4,48.2,6.451,4.7,1.803,924.453,20.1,14
S,CC,0,corn,2016,66.92,66.92,0,918.415,79.306,268.762,92.4,72.2,7.692,4.5,3.242,936.748,15.9,16
S,CC,0,corn,2017,41.326,41.326,0,865.612,14.326,140.814,85.1,68.6,6.749,4,2.721,1063.137,20.4,12.4
S,CC,0,corn,2018,45.233,45.233,0,820.1,77.618,352.871,68.9,50.4,10.924,6.1,4.845,852.257,19.8,17.7
S,CC,0,corn,2019,33.694,33.694,0,829.009,42.169,328.355,69,53.3,8.019,3.3,4.679,878.438,18.8,17.7
S,CC,100,corn,2000,204.768,204.768,0,871.331,21.767,-147.067,186.1,156.3,20.591,20.9,-0.288,1341.737,95.5,87.9
S,CC,100,corn,2001,182.876,182.876,0,799.278,88.173,169.921,113.8,85.6,54.537,24.7,29.877,1031.984,59.9,80.4
S,CC,100,corn,2002,177.232,177.232,0,912.141,47.17,-26.41,112.8,87.1,17.298,14.8,2.468,1223.428,49.8,54.3
S,CC,100,corn,2003,120.862,120.862,0,832.975,38.371,148.507,74.8,33.1,28.263,18.2,10.066,1052.134,45.8,82.5
S,CC,100,corn,2004,50.143,50.143,0,839.521,181.176,293.725,77.2,49.6,23.464,18.7,4.721,911.692,34.1,84.7
S,CC,100,corn,2005,118.687,118.687,0,849.765,56.806,273.945,84.2,39,20.733,16.7,4.072,930.382,40.5,29.7
S,CC,100,corn,2006,125.571,125.571,0,836.678,40.747,22.197,126.3,99,18.726,13.6,5.124,1178.579,40,33.3
S,CC,100,corn,2007,139.379,139.379,0,874.81,162.274,284.633,114,74.2,33.576,22,11.577,919.922,39.4,36.9
S,CC,100,corn,2008,113.096,113.096,0,818.183,53.3,248.898,85.2,50.1,26.73,16.9,9.867,954.824,25.6,29.6
S,CC,100,corn,2009,145.632,145.632,0,805.825,8.97,138.42,73.1,38.7,12.681,9.1,3.548,1064.38,22.4,22.2
S,CC,100,corn,2010,132.868,132.868,0,815.639,136.745,425.964,82.4,45,23.673,15.5,8.154,782.633,24.1,20.2
S,CC,100,corn,2011,159.682,159.682,0,873.636,22.882,22.95,110.8,80.9,11.751,11.8,-0.05,1171.42,32.3,19.2
S,CC,100,corn,2012,110.301,110.301,0,989.536,21.561,-40.034,176.5,130.2,24.484,21.6,2.926,1235.374,66.7,27.5
S,CC,100,corn,2013,171.947,171.947,0,863.914,149.777,106.967,109,76.1,36.724,20.6,16.092,1093.811,34.7,54.1
S,CC,100,corn,2014,145.551,145.551,0,828.464,72.798,78.738,87.7,48.4,10.406,8.9,1.524,1121.257,26.5,29.6
S,CC,100,corn,2015,142.244,142.244,0,841.133,78.955,256.664,94.1,51.4,13.74,10.1,3.642,947.497,34.2,20.9
S,CC,100,corn,2016,163.798,163.798,0,897.915,129.534,237.473,122.8,83.8,15.792,8.8,7.044,967.299,31.1,23.5
